lng	lat
6.0614	50.7789
6.0753	51.0707
6.180432	51.144895
6.2157	50.7722
6.230307	50.661913
6.278102	50.842519
6.31092	50.64635
6.409547	50.910534
6.501	50.7666
6.6616	51.0301
6.6637	50.9175
6.678656	50.291974
6.7052	50.9196
6.7941	50.762
6.82523	51.59472
6.83842	51.61275
6.8695	51.6207
6.940529	51.350569
6.9945	50.6131
7.0755	50.9642
7.076	50.541
7.122	51.738
7.17501	50.96297
7.2276	51.4185
7.26023	51.45437
7.26969	51.44011
7.2707	51.4412
7.279	51.449
7.33271	50.98273
7.33665	50.20507
7.71638	52.90959
7.72634	51.65777
7.731363	50.42407
7.74856	52.28428
7.7943	52.29979
7.860908	50.195425
7.873591	54.187518
7.88534	54.18665
7.8855	54.1867
7.89386	54.17516
7.9021	50.114
7.90974	54.18336
7.912021	54.183066
7.914213	54.186741
7.9876	49.936
8.04602	49.21767
8.0462	49.148252
8.055	49.18419
8.07091	52.79936
8.08207	49.09657
8.1099	49.2276
8.1115	49.19284
8.12513	49.2628
8.12866	49.13964
8.15365	52.90823
8.1658	49.1473
8.1804	50.1064
8.1848	49.2192
8.19395	49.08524
8.20341	49.129
8.212	49.16
8.2687	50.3926
8.27707	49.17344
8.3296	48.3301
8.3977	49.8384
8.416204	51.20272
8.4227	50.5745
8.4489	50.2236
8.4938	49.6228
8.5167	49.8252
8.6502	50.1171
8.6616	49.8422
8.6843	53.2601
8.689	53.2579
8.6898	53.2534
8.6904	53.2576
8.6963	53.2596
8.6993	52.2966
8.7298	49.7769
8.7457	50.0243
8.7707	49.9035
8.8171	49.6534
8.8691	50.7027
8.87575	52.87845
9.139108	52.410132
9.168717	52.951212
9.1752	50.7273
9.19552	53.9688
9.2168	53.03025
9.2923	49.8284
9.3143	52.95723
9.3446	50.1704
9.36068	52.73819
9.3611	52.73791
9.4255	52.92199
9.4385	54.7177
9.5684	50.4571
9.626576	52.30317
9.80987	52.40516
9.81005	52.40535
9.81982	52.40489
9.81994	52.40484
9.82021	52.39718
9.82125	52.4048485
9.83038	52.41548
9.84257	52.40431
9.90985	53.2138
9.9099	50.65261
9.96417	51.54639
10.00098	50.81877
10.07306	54.44462
10.09165	50.8876
10.1071	47.6799
10.10728	52.49432
10.198	52.90554
10.20623	51.29231
10.238953	53.479425
10.3164	53.93595
10.31802	50.84516
10.3741	51.8429
10.41937	51.25384
10.42599	51.53225
10.50368	50.73618
10.5798	51.31555
10.65876	51.2833
10.66725	51.42218
10.673773	52.128318
10.79214	50.60195
10.81861	51.60994
10.8643	51.57828
10.86677	51.33267
10.9175	53.5538
11.00242	51.30677
11.05461	54.19622
11.1735	53.004
11.1978	50.57607
11.220436	49.690776
11.2217	52.9228
11.2247	50.53608
11.2768	48.1639
11.3017	53.0661
11.3075	52.9903
11.31735	49.761076
11.358088	49.654107
11.37416	48.86656
11.43454	49.5643
11.4347	53.0332
11.4723	50.59227
11.505	51.521
11.52001	48.99513
11.52495	49.0857
11.55948	49.467841
11.56432	50.66236
11.58448	48.889145
11.6161	50.6461
11.65059	49.39027
11.668055	49.269795
11.675285	49.11106
11.71074	50.98161
11.7719	51.1942
11.80465	49.3426
11.97713	50.67064
12.0715	50.98203
12.08091	50.78982
12.12605	51.0507
12.137	50.352
12.15733	50.48522
12.163	51.526
12.1999	50.7353
12.21964	50.6908
12.26811	50.8297
12.307	50.448
12.31685	50.69544
12.317	50.234
12.32901	50.25793
12.3316	50.3635
12.3423	51.658
12.3605	50.16917
12.3761	50.2874
12.4031	50.6772
12.4039	50.4118
12.43147	51.0476
12.461	50.415
12.46844	50.94269
12.52309	50.6072
12.572	54.144
12.57625	50.96757
12.64499	50.88902
12.81501	51.43052
12.8803	49.1448
12.88118	50.73247
12.98901	50.59574
13.00238	51.30803
13.35414	50.92117
13.41822442	52.09690725
13.678704	48.837773
13.67969	48.82379
13.68086	48.84568
13.68669	48.83432
13.690754	48.841561
13.694742	48.828793
13.69491	48.83618
13.69518	48.8526
13.69562	48.81877
13.69765	48.8387
13.69785	48.83204
13.69901	48.83422
13.700627	48.844303
13.70092	48.83781
13.700943	48.835994
13.701987	48.844298
13.70295	48.83551
13.70501	48.83382
13.7065	48.83811
13.70791	48.82599
13.70891	48.84045
13.710707	48.847854
13.712018	48.844365
13.713128	48.851617
13.713505	48.83471
13.7138	48.8516
13.713941	48.846178
13.715016	48.819997
13.715775	48.838572
13.71793	48.846135
13.722265	48.84261
13.72505	48.83234
13.736813	48.842358
13.765	54.1385
13.9436	50.8733
14.2097	53.4935
